Identificativo;Indirizzo;Tipologia;Note;
Giardino;via M. Pastello;Pulsante;Ospedaletto;45.50511896899591;10.838774657373648
parco giochi ed aiuola;via Busa;Pulsante;Ospedaletto;45.50589940154476;10.836770847762761
Parco via Don Morandin;via Don Morandin;Pulsante;LOCALITA’ SANTA LUCIA;45.49931208015199;10.81931872031678
Parco via Almirante;via Almirante;Pulsante;LOCALITA’ SANTA LUCIA;45.49879641776336;10.822485938502581
parco giochi via Don Calabria;via Don Calabria;Pulsante;LOCALITA’ BALCONI;
Area via S. Francesco;via S. Francesco;Pulsante;LOCALITA’ BALCONI;
Piazza Tanti Balconi;Piazza Tanti Balconi;Pulsante;LOCALITA’ BALCONI;
Via Postale vecchia  Campetto;Via Postale vecchia;Pulsante;LOCALITA’ BALCONI;
Via Siedlce -Via S. Francesco 3 aree;Via Siedlce -Via S. Francesco;Pulsante;LOCALITA’ BALCONI;
Parco via dei Peschi;via dei Peschi;Pulsante;LOCALITA’ SETTIMO;
area cinofila;Via dei Pini;Pulsante;LOCALITA’ SETTIMO;
parco giochi via Bertoldi;via Bertoldi;Pulsante;LOCALITA’ SETTIMO;
area via Verdi via Rossini;via Verdi via Rossini;Pulsante;LOCALITA’ SETTIMO;
parco giochi via Vicentini;via Vicentini;Pulsante;LOCALITA’ SETTIMO;
via Vivaldi;via Vivaldi;Pulsante;LOCALITA’ SETTIMO;
parco giochi Corte regia;Corte regia;Pulsante;LOCALITA’ SETTIMO;
parco Padre Zeno;via Belvedere;Pulsante;LOCALITA’ ARCE’;
Parco giochi via M. Castagna;via M. Castagna;Pulsante;LOCALITA’ CAPOLUOGO OVEST;
Parco via Zenati;via Zenati;Pulsante;LOCALITA’ CAPOLUOGO OVEST;
Via Don Ottoboni;Via Don Ottoboni;Pulsante;LOCALITA’ CAPOLUOGO OVEST;
Area Donatori Sangue;via Moletti;Pulsante;LOCALITA’ CAPOLUOGO NORD - OVEST;
Area via dei sassi;via dei sassi;Pulsante;LOCALITA’ CAPOLUOGO NORD - OVEST;
Area verde lottizzazione Sabionè;via Salvo D'Acquisto;Pulsante;LOCALITA’ CAPOLUOGO NORD - OVEST;
Area via Anita Garibaldi;via Anita Garibaldi;Pulsante;LOCALITA’ CAPOLUOGO NORD - OVEST;
Area via caduti del lavoro;via caduti del lavoro;Pulsante;LOCALITA’ CAPOLUOGO NORD - OVEST;
Giardino Via Vegra;Via Vegra;Pulsante;LOCALITA’ CAPOLUOGO NORD - EST;
Parco giochi via Vezza;via Vezza;Pulsante;LOCALITA’ CAPOLUOGO NORD - EST;
Area Verde Via Papa paolo VI;Via Papa paolo VI;Pulsante;LOCALITA’ CAPOLUOGO NORD - EST;
Area Verde via Bogoni-via Zamboni;via Zamboni;Pulsante;LOCALITA’ CAPOLUOGO NORD - EST;
via Beghini;via Beghini;Pulsante;LOCALITA’ CAPOLUOGO NORD - EST;
Lottizzazione Serena 3 aree verdi;via Girelli/via Pascoli;Pulsante;LOCALITA’ CAPOLUOGO EST;
Area Verde via Papa Giovanni 23°;via Papa Giovanni 23°;Pulsante;LOCALITA’ CAPOLUOGO EST;
area verde viale Verona incrocio via Lora;viale Verona incrocio via Lora;Pulsante;LOCALITA’ CAPOLUOGO EST;
Parco giochi Via Falcone;Via Falcone;Pulsante;LOCALITA’ CAPOLUOGO EST;
Area verde via Martiri della Libertà;via Martiri della Libertà;Pulsante;LOCALITA’ CAPOLUOGO EST;
Parco giochi via Butturini;via Butturini;Pulsante;LOCALITA’ CAPOLUOGO SUD;
Area Verde via Butturini;via Butturini;Pulsante;LOCALITA’ CAPOLUOGO SUD;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
