Identificativo;Indirizzo;Tipologia;Note;Lat;Long
VITTORIO EMANUELE;VIA VITTORIO EMANUELE SECONDO, VALEGGIO SUL MINCIO;Rubinetto;PARCO;45.358589112311925;10.738719620635823;
BELLUNO;VICOLO BELLUNO, VALEGIGO SUL MINCIO;Rubinetto;PARCO GIOCHI;45.35928968615734;10.740133569855663;
ICHENHAUSEN (Fontana);VIA GORIZIA, VALEGGIO SUL MINCIO;Flusso continuo;PARCO;45.35677575605049;10.73788413855253;
ICHENHAUSEN (Fontanella);VIA GORIZIA, VALEGGIO SUL MINCIO;Rubinetto;PARCO;45.356552327793494;10.737909121180262;
ICHENHAUSEN;VIA ROBERT BADEN-POWELL, VALEGGIO SUL MINCIO;Pulsante;PARCO GIOCHI;45.355655016396746;10.737408564235766;
ICHENHAUSEN;VIA ROBERT BADEN-POWELL, VALEGGIO SUL MINCIO;Rubinetto;AREA CANI;45.35564968538086;10.737768919766085;
PARCHEGGIO VIA DON GIOVANNI MINZONI;VIA DON GIOVANNI MINZONI, VALEGGIO SUL MINCIO;ND;PARCHEGGIO;45.35514501738307;10.736324308821835;
FONTANELLA LAVATOIO GARIBALDI;PIAZZA GIUSEPPE GARIBALDI, VALEGGIO SUL MINCIO;Rubinetto;AIUOLA;45.35272667225014;10.735699454221413;
TAGLIAMENTO;VIA TAGLIAMENTO, VALEGGIO SUL MINCIO;Rubinetto;PARCO GIOCHI;45.350728637165915;10.739876483242785;
PONTIERI;VIA DEI PONTIERI, VALEGGIO SUL MINCIO;Rubinetto;PARCO GIOCHI;45.35015556186173;10.731626608158926;
MORO;VIA ALDO MORO, VALEGGIO SUL MINCIO;Rubinetto;PARCO GIOCHI;45.34933133553646;10.73815365578568;
BRENTA (Fontanella 1);VIA BRENTA, VALEGGIO SUL MINCIO;Rubinetto;PARCO GIOCHI;45.34934861460035;10.742868876928297;
BRENTA (Fontanella 2);VIA COLONNELLO GIOVANNI FINCATO, VALEGGIO SUL MINCIO;Rubinetto;PARCO GIOCHI;45.34911298800926;10.742466545578425;
FINCATO;VIA COLONNELLO GIOVANNI FINCATO, VALEGGIO SUL MINCIO;Pulsante;PARCO GIOCHI;45.3466118204373;10.738022618947653;
FANTE;VIA DEL FANTE, VALEGGIO SUL MINCIO;Rubinetto;PARCO GIOCHI;45.34718236706406;10.731057677238923;
FANTE;VIA DEL FANTE, VALEGGIO SUL MINCIO;Pulsante;PARCO GIOCHI;45.34699243247848;10.729406557231888;
PARTIGIANI;VIA DEI PARTIGIANI, VALEGGIO SUL MINCIO;Pulsante;PARCO GIOCHI;45.34702585422996;10.735680825635024;
CONCORDIA;VIA DELLA CONCORDIA, LOCALITA' FORONI;ND;PARCO GIOCHI;45.33533882863492;10.734648296753488;
PIGOZZI;VIA DON LEONE PIGOZZI, LOCALITA' VANONI-REMELLI;ND;;45.31490079765308;10.762052494010213;
FONTANA DEGLI SPRUZZI MONTE COCOLO;VICOLO MONTE COCOLO, SANTA LUCIA AI MONTI;Rubinetto;PARCO GIOCHI;45.38412366605229;10.765392231999273;
TEODORICO;VICOLO TEODORICO, SALIONZE;ND;PARCO GIOCHI;45.406679651777246;10.725819220674206;
NIKOLAJEWKA;PIAZZA NIKOLAJEWKA, SALIONZE;ND;PARCO GIOCHI;45.40445479563723;10.723060451646642;
BENACO;VIA BENACO, SALIONZE;Rubinetto;PARCO GIOCHI;45.4033028722545;10.725466990876825;
DEL BUE;VICOLO ADIGE DEL BUE, SALIONZE;Rubinetto;PARCO GIOCHI;45.35068011482461;10.740091863759137;
